full_name,Normalized Rotational Period,Normalized Mass,Normalized Eccentricity,Normalized Semi-Major Axis,Normalized Inclination
Jupiter,-0.34,2.35,-0.66,-0.43,-1.09
Saturn,-0.31,2.13,-0.61,-0.07,-0.99
Neptune,-0.05,1.81,-0.9,0.59,-1.05
Uranus,-0.01,1.35,-0.66,0.33,-1.14
Earth,0.2,1.28,-0.83,-1.37,-1.21
Venus,3.14,1.24,-0.91,-1.56,-0.91
Mars,0.22,0.87,-0.44,-1.13,-1.05
Mercury,2.71,0.74,0.19,-1.92,-0.6
Eris,1.91,0.19,1.47,1.05,2.63
Pluto,1.35,0.14,0.44,0.74,0.29
Haumea,-0.92,-0.07,0.14,0.79,1.25
Makemake,0.17,-0.12,-0.05,0.82,1.32
Gonggong,0.16,-0.23,1.82,1.05,1.46
Quaoar,0.02,-0.3,-0.72,0.8,-0.51
Ceres,-0.4,-0.34,-0.3,-0.79,-0.37
Salacia,-0.64,-0.46,-0.36,0.78,0.88
4 Vesta,-0.72,-0.58,-0.44,-0.88,-0.58
Sedna,-0.32,-0.46,3.75,2.21,-0.17
Varda,-0.66,-0.59,-0.15,0.83,0.67
2 Pallas ,-0.49,-0.63,0.33,-0.79,1.84
2003 AZ84,-0.57,-0.66,0.07,0.74,-0.02
G?kún??hòmdímà,-0.27,-0.7,1.73,1.09,0.83
2002 UX25,-0.11,-0.72,-0.16,0.78,0.49
10 Hygiea,-0.14,-0.75,-0.33,-0.72,-0.87
704 Interamnia,-0.42,-0.81,-0.08,-0.73,0.3
Huya,-0.58,-0.89,-0.66,0.74,0.14
16 Psyche,-0.87,-1.03,-0.2,-0.76,-0.94
107 Camilla,-0.78,-1.17,-0.58,-0.66,-0.33
22 Kalliope ,-0.88,-1.24,-0.39,-0.76,-0.01
